site,taxon,abundance
1,Suncus etruscus,8
1,Crocidura suaveolens,12
1,Sorex vagrans,16
1,Myotis nigricans,16
1,Geogale aurita,7
1,Notiosorex crawfordi,19
1,Natalus tumidirostris,8
1,Myotis lucifugus,12
1,Sorex minutus,16
1,Cryptotis parva,16
2,Peropteryx macrotis,7
2,Myotis nigricans,19
2,Sorex cinereus,8
2,Crocidura suaveolens,12
2,Suncus etruscus,16
2,Planigale ingrami,16
2,Myotis yumanensis,7
2,Myotis lucifugus,19
2,Notiosorex crawfordi,8
3,Natalus tumidirostris,12
3,Geogale aurita,16
3,Suncus etruscus,16
3,Crocidura suaveolens,7
3,Myotis nigricans,19
3,Pteronotus quadridens,8
3,Myotis lucifugus,12
3,Sorex cinereus,16
3,Peropteryx macrotis,16
3,Notiosorex crawfordi,7
3,Sorex minutus,19
